Departamento,Homicidios,Poblacion,abb,Región
AMAZONAS,5,77948,AMA,Amazónica
ANTIOQUIA,1915,6613118,ANT,Andina
ARAUCA,85,267992,ARA,Orinoquía
ATLÁNTICO,555,2517897,ATL,Caribe
BOLÍVAR,402,2146696,BOL,Caribe
BOYACÁ,75,1279955,BOY,Andina
CALDAS,187,991860,CAL,Andina
CAQUETÁ,181,490056,CAQ,Amazónica
CASANARE,73,368989,CAS,Orinoquía
CAUCA,561,1404205,CAU,Pacífica
CESAR,209,1053475,CES,Caribe
CHOCÓ,228,510047,CHO,Pacífica
CUNDINAMARCA,1555,10843518,CUN,Andina
CÓRDOBA,258,1762530,COR,Caribe
GUAINÍA,3,42777,GUA,Amazónica
GUAVIARE,221,114207,GUV,Amazónica
HUILA,38,1182944,HUI,Andina
LA GUAJIRA,209,1012926,LAG,Caribe
MAGDALENA,201,1285384,MAG,Caribe
META,281,998162,MET,Orinoquía
NARIÑO,530,1787545,NAR,Pacífica
NORTE DE SANTANDER,506,1379533,NSA,Andina
PUTUMAYO,130,354094,PUT,Amazónica
QUINDIO,201,571733,QUI,Andina
RISARALDA,274,962529,RIS,Andina
SAN ANDRÉS,23,77759,SAP,Caribe
SANTANDER,234,2080938,SAN,Andina
SUCRE,116,868438,SUC,Caribe
TOLIMA,315,1416124,TOL,Andina
VALLE DEL CAUCA,2369,4708262,VAC,Pacífica
VAUPÉS,2,44500,VAU,Amazónica
VICHADA,23,75468,VID,Orinoquía
